N,T,sched,chunk,TIME_mean,RSS_mean,TIME_std,RSS_std
100000,6,dynamic,0,0.013545999999999999,1110.4,0.009411661147510336,50.28629148297885
100000,6,dynamic,1,0.0049015000000000005,1122.0,0.00014845594183685167,42.04759208325728
100000,6,dynamic,4,0.0022789,1096.4,1.0959014554237997e-05,62.323885201956614
100000,6,dynamic,10,0.002053,1122.0,5.676462121975457e-06,59.426892528177476
100000,6,dynamic,50,0.0019587,1065.2,3.91719854544597e-06,47.443065293512014
100000,8,static,0,0.0019530000000000003,1135.6,7.241853660800163e-06,50.295128988799696
100000,8,static,1,0.010342500000000001,1090.4,0.009844796417397366,32.94169934225549
100000,8,static,4,0.0220524,1110.0,0.0040441708173617,65.43529458769004
100000,8,static,10,0.023444999999999997,1109.6,0.006202120658828451,67.0707752220659
100000,8,static,50,0.0151808,1123.2,0.008018841268468212,29.2605156786031
100000,8,dynamic,0,0.0049003,1116.0,0.00019513246213220847,56.881944020537446
100000,8,dynamic,1,0.0049309,1077.2,0.00021028839984913835,31.442363496121313
100000,8,dynamic,4,0.0018411999999999999,1129.6,2.034043591797712e-05,56.164836765443276
100000,8,dynamic,10,0.0015996999999999997,1104.0,6.236986451805084e-06,43.49201714746691
100000,8,dynamic,50,0.00155,1293.6,6.46030615029625e-05,567.4463655516508
100000,16,static,0,0.0230789,1148.4,0.007557299524300992,44.27991769539676
100000,16,static,1,0.035541100000000006,1115.6,0.006615220622003304,55.823531477923055
100000,16,static,4,0.029869000000000007,1115.2,0.010672166467550584,46.29566814388673
100000,16,static,10,0.036139500000000005,1108.4,0.005456020186709153,66.38473720165904
100000,16,static,50,0.033588599999999996,1083.6,0.009716405121694386,54.01069852867629
100000,16,dynamic,0,0.023780500000000003,1115.6,0.00645279972397856,46.96854739551186
100000,16,dynamic,1,0.0279048,1089.6,0.007149688474953919,68.33121947949967
100000,16,dynamic,4,0.0317027,1108.8,0.010150151515563149,58.751453882719645
100000,16,dynamic,10,0.031221200000000005,1147.6,0.013835680883538442,62.323885201956614
100000,16,dynamic,50,0.025788300000000004,1299.6,0.009262123107341834,605.8894655334786
500000,2,static,0,0.0608565,1134.8,9.267775713010398e-05,40.532017522502436
500000,2,static,1,0.0995982,1115.2,0.00012108197406899446,62.95818718271146
500000,2,static,4,0.05004850000000001,1103.6,3.1451020121239955e-05,59.85018332841132
500000,2,static,10,0.04968199999999999,1155.2,2.1664102412363086e-05,45.2862500594214
500000,2,static,50,0.049688899999999994,1109.6,4.140705790616401e-05,41.36342990291464
500000,2,dynamic,0,0.0566512,1110.4,0.00024336885585464761,50.84879546262625
500000,2,dynamic,1,0.05679909999999999,1102.8,0.0002634685096089391,60.98597288630303
500000,2,dynamic,4,0.05214280000000001,1122.0,8.929949607920593e-05,43.37946262665984
500000,2,dynamic,10,0.05069429999999999,1103.2,4.785406054987443e-05,52.62192192106505
500000,2,dynamic,50,0.049823200000000005,1149.2,3.4058120258692515e-05,62.93700554257937
500000,4,static,0,0.0324775,1142.0,2.7949358967007608e-05,43.827946437049604
500000,4,static,1,0.049868800000000005,1116.4,2.7828043409481276e-05,36.92394585872125
500000,4,static,4,0.0251946,1109.6,1.2447221912272007e-05,58.94479526547606
500000,4,static,10,0.024959600000000002,1122.0,3.6533698295013966e-05,42.71871824960212
500000,4,static,50,0.0249655,1084.0,4.531433425406244e-05,76.8721882954644
500000,4,dynamic,0,0.032158299999999994,1110.4,0.0004378594523360211,73.68883527675305
500000,4,dynamic,1,0.0324436,1109.6,0.0005458708027851772,58.94479526547606
500000,4,dynamic,4,0.026522,1110.4,5.7497826045860174e-05,72.52156767319484
500000,4,dynamic,10,0.0255438,1101.6,3.961986033964979e-05,60.55153911246921
500000,4,dynamic,50,0.0249898,1122.8,1.671858579877801e-05,51.74467229687624
500000,6,static,0,0.0221184,1116.0,8.085652588244255e-06,63.49803146555018
500000,6,static,1,0.048799999999999996,1122.0,1.3324997394204765e-05,42.71871824960212
500000,6,static,4,0.024666999999999998,1109.6,1.1832159566199207e-05,58.46024290062435
500000,6,static,10,0.0185924,1104.0,1.1834037537731955e-05,43.49201714746691
500000,6,static,50,0.0173929,1064.8,2.4250773183550425e-05,47.508595713477646
500000,6,dynamic,0,0.0261423,1096.8,0.0005896954110197719,62.04801008538111
500000,6,dynamic,1,0.025829800000000003,1146.8,0.0006009427408478927,43.371265449219564
500000,6,dynamic,4,0.0180186,1128.4,6.590936537734563e-05,63.90131280167707
500000,6,dynamic,10,0.0207865,1116.0,0.006011481999751253,63.04848222686341
500000,6,dynamic,50,0.0210525,1300.8,0.009178778195744065,562.662875184698
500000,8,static,0,0.0167483,1104.4,9.250225222484007e-06,52.54246959471082
500000,8,static,1,0.0250695,1288.4,6.625749433502243e-05,573.8399312235657
500000,8,static,4,0.012627200000000002,1096.8,1.2318008497047138e-05,81.12103440059317
500000,8,static,10,0.012615000000000001,1129.2,6.741743922095455e-05,64.6920912219312
500000,8,static,50,0.012625799999999998,1142.0,1.2443650768341448e-05,30.88329285840125
500000,8,dynamic,0,0.024854600000000004,1116.0,0.0008566826457653709,55.872871572685234
500000,8,dynamic,1,0.024014399999999998,1142.4,0.001046752777774091,42.29841079231648
500000,8,dynamic,4,0.0137325,1172.8,8.326964232740148e-05,26.852684533704757
500000,8,dynamic,10,0.0129179,1122.0,2.1829897948557596e-05,44.03029260255565
500000,8,dynamic,50,0.0125963,1148.4,8.152027695951109e-06,44.91770252361534
500000,16,static,0,0.0352048,1121.6,0.011120591788809323,42.71663740407373
500000,16,static,1,0.05799979999999999,1311.6,0.008318918303080835,601.0966274697901
500000,16,static,4,0.062603,1116.0,0.01350162966295386,37.617962612442355
500000,16,static,10,0.0350724,1128.0,0.0126763063074383,56.881944020537446
500000,16,static,50,0.0562661,1110.0,0.014939945355024265,57.573141886357625
500000,16,dynamic,0,0.04819369999999999,1103.6,0.011098653392291437,61.259375699651976
500000,16,dynamic,1,0.061824899999999995,1306.0,0.013225663683829927,581.8934610390462
500000,16,dynamic,4,0.0749292,1115.6,0.008634977614331147,63.00476172480934
500000,16,dynamic,10,0.05566530000000001,1274.8,0.015288058266721338,593.6405197311473
500000,16,dynamic,50,0.0375517,1102.4,0.021207819433459493,67.91367069056616
1000000,2,static,0,0.1592483,1097.2,4.9421205525115224e-05,45.29606311075316
1000000,2,static,1,0.2594211,1135.6,6.654063086232413e-05,50.8575352223138
1000000,2,static,4,0.1302652,1142.4,4.22158474719838e-05,42.96561933039537
1000000,2,static,10,0.12955,1312.0,6.592419889539469e-05,600.9562749854971
1000000,2,static,50,0.12940390000000002,1122.8,0.0001532046198897273,44.022216613382334
1000000,2,dynamic,0,0.1425289,1128.0,0.00037703328765508154,47.62818959864467
1000000,2,dynamic,1,0.1425597,1109.6,0.00039763776089412185,59.42539674060055
1000000,2,dynamic,4,0.1342198,1285.6,0.00014529341959558203,608.891743707825
1000000,2,dynamic,10,0.1315197,1109.6,0.0001641496945541555,51.74982554989383
1000000,2,dynamic,50,0.1298029,1134.8,0.0001104118049244178,66.1325268768033
1000000,4,static,0,0.0850638,1116.0,5.76151986120953e-05,54.84523680320835
1000000,4,static,1,0.12988149999999998,1115.6,3.949191197081831e-05,55.31164233484464
1000000,4,static,4,0.0654138,1102.8,6.085647961483593e-05,44.22367390135439
1000000,4,static,10,0.0649332,1096.0,4.9530686335735805e-05,69.48700917757537
1000000,4,static,50,0.06487879999999999,1280.8,6.581084003921086e-05,571.4101076382103
1000000,4,dynamic,0,0.07680920000000001,1142.4,0.00041967124699644894,51.95553654595223
1000000,4,dynamic,1,0.076594,1096.4,0.0006443475597670696,54.01069852867629
1000000,4,dynamic,4,0.0679645,1083.2,9.646789909371908e-05,62.50475537464685
1000000,4,dynamic,10,0.06605609999999999,1090.0,5.1614920323489087e-05,68.54033686653267
1000000,4,dynamic,50,0.0649861,1123.6,1.8722832169423585e-05,67.89403508409262
1000000,6,static,0,0.05776830000000001,1134.8,3.1738690024075916e-05,58.36437269430727
1000000,6,static,1,0.12776179999999998,1108.8,4.5491879617258604e-05,49.272033988189825
1000000,6,static,4,0.06437390000000001,1122.8,1.933591936727733e-05,51.74467229687624
1000000,6,static,10,0.0484293,1298.8,6.544556686455007e-05,609.1919602591981
1000000,6,static,50,0.0452607,1109.6,3.002609975782135e-05,57.478885011995686
1000000,6,dynamic,0,0.0574166,1083.6,0.0006306210695285496,68.41572268938705
1000000,6,dynamic,1,0.057759099999999994,1090.4,0.0008090487487029313,69.56883082402796
1000000,6,dynamic,4,0.045719899999999994,1096.8,0.00013437794958003042,33.45577512013268
1000000,6,dynamic,10,0.04421759999999999,1097.2,4.7020562877674416e-05,62.226825226567506
1000000,6,dynamic,50,0.0434274,1123.6,4.9216528389014615e-05,30.196394192390294
1000000,8,static,0,0.043790499999999996,1116.4,2.912139343430355e-05,75.78800843287955
1000000,8,static,1,0.06511770000000001,1115.2,4.038440292984431e-05,47.508595713477646
1000000,8,static,4,0.0327333,1311.6,6.151070367559425e-05,576.0847159923617
1000000,8,static,10,0.03266619999999999,1096.8,9.126274644612058e-06,53.692126466032654
1000000,8,static,50,0.0326414,1096.0,1.7664779773449755e-05,45.176198256259774
1000000,8,dynamic,0,0.051656999999999995,1109.6,0.0012872265621180377,50.63858871124536
1000000,8,dynamic,1,0.050431100000000006,1142.8,0.0014624975935402797,52.3254771173236
1000000,8,dynamic,4,0.034593,1097.2,0.00010624918300339546,68.74235311008135
1000000,8,dynamic,10,0.0332613,1103.2,4.6849759871316055e-05,61.58787759508089
1000000,8,dynamic,50,0.0326292,1109.6,1.1951754868823353e-05,51.19722214686609
1000000,16,static,0,0.060762800000000006,1128.0,0.022812775654590275,64.38771449413139
1000000,16,static,1,0.0830435,1102.8,0.024703401327887353,67.19920634451968
1000000,16,static,4,0.0734605,1135.2,0.025557887194236798,40.38921748299772
1000000,16,static,10,0.0787246,1110.4,0.010067920906412491,72.52156767319484
1000000,16,static,50,0.0668463,1109.2,0.019679382126987627,39.82405749739164
1000000,16,dynamic,0,0.08947920000000001,1298.0,0.018821862239900115,580.2964759500095
1000000,16,dynamic,1,0.09100490000000001,1142.4,0.015133257058912039,42.29841079231648
1000000,16,dynamic,4,0.0792812,1135.2,0.025583254713451402,57.775042670304934
1000000,16,dynamic,10,0.08724130000000001,1089.6,0.02200881032702838,63.58755992942155
1000000,16,dynamic,50,0.07598799999999999,1115.6,0.029181183811947498,55.823531477923055
5000000,2,static,0,1.5297274,1096.8,0.0027730306004642687,53.15971741418078
5000000,2,static,1,2.4649738,1128.4,0.00039372432544161785,36.779221186848304
5000000,2,static,4,1.2360178999999998,1140.8,0.0004171542347328654,43.1143183228547
5000000,2,static,10,1.2320706,1089.6,0.0002372299400253467,45.925543606532905
5000000,2,static,50,1.231277,1090.8,0.00016107969042267412,54.16189722591991
5000000,2,dynamic,0,1.2885751,1122.0,0.0016622326652226836,60.84588911522472
5000000,2,dynamic,1,1.2889568999999998,1097.2,0.0019805159512948554,87.3318066024312
5000000,2,dynamic,4,1.2536139,1135.6,0.0014179205784058172,59.13299511365132
5000000,2,dynamic,10,1.2416212000000002,1128.4,0.0007947959626358229,54.79497138322903
5000000,2,dynamic,50,1.2329165000000002,1141.6,0.00020354156004776994,42.04547802347147
5000000,4,static,0,0.8179415999999999,1116.0,8.325890009148416e-05,36.854066562894005
5000000,4,static,1,1.2336871,1299.2,0.00014223646196074498,605.2857543709785
5000000,4,static,4,0.6189748999999999,1128.0,0.00020180928841085475,56.37966536497593
5000000,4,static,10,0.6165865,1121.6,0.00029225226926217203,59.90214242134138
5000000,4,static,50,0.6157234,1135.6,8.063387763354983e-05,39.528330206181096
5000000,4,dynamic,0,0.6577662,1141.6,0.0012109062538262565,52.296590073668604
5000000,4,dynamic,1,0.6587669,1122.0,0.0015418092150313327,52.839379254491625
5000000,4,dynamic,4,0.6293211000000001,1109.6,0.00042443333464226707,84.01481350862412
5000000,4,dynamic,10,0.6215127,1109.2,0.0002486662421801482,58.36437269430727
5000000,4,dynamic,50,0.6164714000000001,1097.6,0.00011359792642863775,62.402279160656015
5000000,6,static,0,0.5563566,1123.2,0.0003590933645230077,60.36334428552922
5000000,6,static,1,1.2216488,1089.6,0.0003457872820744703,68.74623221998748
5000000,6,static,4,0.6129358,1084.8,0.00013715263192678431,61.29854085629699
5000000,6,static,10,0.46044529999999995,1142.4,0.00044147582040242545,52.50015872991877
5000000,6,static,50,0.4312454999999999,1108.0,0.003778301389366506,27.45501370929867
5000000,6,dynamic,0,0.45265939999999993,1121.6,0.002838511119896806,42.71663740407373
